perspective_calendar_event,school_year_start,school_year_end,CS,CE,AE,AS,TV,OH,CH,SH,MI,ID,MS,MD,MA,MU,MH,AD,`AD_0.33`,`AD_0.5`,IO,`IO_0.33`,`IO_0.5`,IS,`IS_0.33`,`IS_0.5`,OA,`OA_0.33`,`OA_0.5`,OI,`OI_0.33`,`OI_0.5`,OO,`OO_0.33`,`OO_0.5`,OS,`OS_0.33`,`OS_0.5`,OV,`OV_0.33`,`OV_0.5`,PT,`PT_0.33`,`PT_0.5`,SD,`SD_0.33`,`SD_0.5`,SI,`SI_0.33`,`SI_0.5`,SN,`SN_0.33`,`SN_0.5`,SO,`SO_0.33`,`SO_0.5`,SP,`SP_0.33`,`SP_0.5`,WN,WO
CS,2025,,IGNORE,FORBIDDEN:CRITICAL,FORBIDDEN:CRITICAL,ALLOWED,,,,,,ALLOWED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE,2025,,FORBIDDEN:CRITICAL,IGNORE,ALLOWED,FORBIDDEN:CRITICAL,,,,,,ALLOWED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE,2025,,FORBIDDEN:CRITICAL,ALLOWED,IGNORE,FORBIDDEN:CRITICAL,,FORBIDDEN:ERROR,FORBIDDEN:ERROR,FORBIDDEN:ERROR,,REQUIRED:CRITICAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS,2025,,ALLOWED,FORBIDDEN:CRITICAL,FORBIDDEN:CRITICAL,IGNORE,,FORBIDDEN:ERROR,FORBIDDEN:ERROR,FORBIDDEN:ERROR,,REQUIRED:CRITICAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV,2025,,,,,,IGNORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,2025,,,,FORBIDDEN:ERROR,FORBIDDEN:ERROR,,IGNORE,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN:ERROR,FORBIDDEN:ERROR
CH,2025,,,,FORBIDDEN:ERROR,FORBIDDEN:ERROR,,FORBIDDEN:POTENTIAL,IGNORE,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN:ERROR,FORBIDDEN:ERROR
SH,2025,,,,FORBIDDEN:ERROR,FORBIDDEN:ERROR,,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,IGNORE,FORBIDDEN:POTENTIAL,FORBIDDEN:ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN:ERROR,FORBIDDEN:ERROR
MI,2025,,,,,,,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,IGNORE,FORBIDDEN:ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,2025,,ALLOWED,ALLOWED,ALLOWED,ALLOWED,,FORBIDDEN:ERROR,FORBIDDEN:ERROR,FORBIDDEN:ERROR,FORBIDDEN:ERROR,IGNORE,ALLOWED,ALLOWED,ALLOWED,ALLOWED,ALLOWED,ALLOWED,ALLOWED,ALLOWED,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN:ERROR,ALLOWED,ALLOWED,FORBIDDEN:ERROR,ALLOWED,ALLOWED,FORBIDDEN:ERROR,ALLOWED,ALLOWED,FORBIDDEN:ERROR,ALLOWED,ALLOWED,FORBIDDEN:ERROR,ALLOWED,ALLOWED,ALLOWED,ALLOWED
MS,2025,,,,,,,,,,,REQUIRED:CRITICAL,IGNORE,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,2025,,,,,,,,,,,REQUIRED:CRITICAL,FORBIDDEN:POTENTIAL,IGNORE,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,2025,,,,,,,,,,,REQUIRED:CRITICAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,IGNORE,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU,2025,,,,,,,,,,,REQUIRED:CRITICAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,IGNORE,FORBIDDEN:POTENTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MH,2025,,,,,,,,,,,REQUIRED:CRITICAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,IGNORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,2025,,,,,,,,,,,REQUIRED:CRITICAL,,,,,,IGNORE,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD_0.33,2025,,,,,,,,,,,REQUIRED:CRITICAL,,,,,,FORBIDDEN:POTENTIAL,IGNORE,FORBIDDEN:POTENTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD_0.5,2025,,,,,,,,,,,REQUIRED:CRITICAL,,,,,,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,IGNORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IO,2025,,,,,,,,,,,,,,,,,,,,IGNORE,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IO_0.33,2025,,,,,,,,,,,,,,,,,,,,FORBIDDEN:POTENTIAL,IGNORE,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IO_0.5,2025,,,,,,,,,,,,,,,,,,,,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,IGNORE,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS,2025,,,,,,,,,,,,,,,,,,,,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,IGNORE,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS_0.33,2025,,,,,,,,,,,,,,,,,,,,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,IGNORE,FORBIDDEN:POTENTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS_0.5,2025,,,,,,,,,,,,,,,,,,,,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,IGNORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OA,2025,,,,,,,,,,,,,,,,,,,,,,,,,,IGNORE,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,,,,,,,,,,,,,,,,,,,,
OA_0.33,2025,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN:POTENTIAL,IGNORE,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,,,,,,,,,,,,,,,,,,,,
OA_0.5,2025,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,IGNORE,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,,,,,,,,,,,,,,,,,,,,
OI,2025,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,IGNORE,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,,,,,,,,,,,,,,,,,,,,
OI_0.33,2025,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,IGNORE,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,,,,,,,,,,,,,,,,,,,,
OI_0.5,2025,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,IGNORE,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,,,,,,,,,,,,,,,,,,,,
OO,2025,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,IGNORE,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,,,,,,,,,,,,,,,,,,,,
OO_0.33,2025,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,IGNORE,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,,,,,,,,,,,,,,,,,,,,
OO_0.5,2025,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,IGNORE,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,,,,,,,,,,,,,,,,,,,,
OS,2025,,,,,,,,,,,,,,,,,,,,,,,,,,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,IGNORE,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,FORBIDDEN:POTENTIAL,,,,,,,,,,,,,,,,,,,,
